"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_001MA","B28001_001EA","B28001_002E","B28001_002M","B28001_002MA","B28001_002EA","B28001_003E","B28001_003M","B28001_003MA","B28001_003EA","B28001_004E","B28001_004EA","B28001_004M","B28001_004MA","B28001_005E","B28001_005EA","B28001_005M","B28001_005MA","B28001_006E","B28001_006EA","B28001_006M","B28001_006MA","B28001_007E","B28001_007M","B28001_007MA","B28001_007EA","B28001_008E","B28001_008M","B28001_008MA","B28001_008EA","B28001_009E","B28001_009EA","B28001_009M","B28001_009MA","B28001_010E","B28001_010M","B28001_010MA","B28001_010EA","B28001_011E","B28001_011EA","B28001_011M","B28001_011MA",
"0400000US12","Florida","7510882","23856","null","null","6614563","26861","null","null","5981984","30109","null","null","968027","null","6336","null","5318492","null","24495","null","285644","null","4848","null","4001798","25312","null","null","45377","1790","null","null","376218","null","4361","null","8814","646","null","null","896319","null","6798","null",
"0400000US13","Georgia","3663104","8973","null","null","3188037","11467","null","null","2821888","13500","null","null","379921","null","4092","null","2660630","null","10791","null","162008","null","4063","null","1997799","12239","null","null","22215","1188","null","null","176543","null","2880","null","4011","469","null","null","475067","null","4546","null",
"0400000US15","Hawaii","455502","2028","null","null","405312","2464","null","null","373133","2697","null","null","48680","null","1387","null","337020","null","2450","null","13981","null","753","null","259633","2354","null","null","2745","361","null","null","20239","null","782","null","458","124","null","null","50190","null","1377","null",
"0400000US16","Idaho","609124","2433","null","null","541670","2864","null","null","495105","3216","null","null","89597","null","2140","null","424122","null","3359","null","19692","null","1060","null","325417","3417","null","null","3412","419","null","null","20479","null","1044","null","381","125","null","null","67454","null","1829","null",
"0400000US17","Illinois","4818452","9284","null","null","4178390","10867","null","null","3762550","13354","null","null","549543","null","5163","null","3426112","null","10584","null","184468","null","3613","null","2586193","11039","null","null","28554","1199","null","null","239347","null","4449","null","5843","475","null","null","640062","null","4372","null",
"0400000US18","Indiana","2537189","7046","null","null","2169022","8422","null","null","1912406","10998","null","null","332647","null","3758","null","1721208","null","7383","null","111403","null","2567","null","1300186","7916","null","null","18556","937","null","null","100170","null","2692","null","3117","338","null","null","368167","null","3761","null",
"0400000US19","Iowa","1251587","3914","null","null","1078394","4730","null","null","973065","5183","null","null","178563","null","2074","null","842865","null","4764","null","46113","null","1561","null","643831","4563","null","null","8126","421","null","null","43998","null","1367","null","1878","235","null","null","173193","null","2027","null",
"0400000US20","Kansas","1121943","3987","null","null","974916","4757","null","null","873065","5705","null","null","145900","null","1817","null","782166","null","4831","null","44201","null","1472","null","589816","4767","null","null","6645","533","null","null","39201","null","1061","null","1060","148","null","null","147027","null","2234","null",
"0400000US21","Kentucky","1724514","4759","null","null","1421295","5787","null","null","1233286","7347","null","null","210729","null","3087","null","1134876","null","5069","null","82792","null","2138","null","855626","5842","null","null","13365","792","null","null","71350","null","1955","null","2035","272","null","null","303219","null","3573","null",
"0400000US22","Louisiana","1737645","5467","null","null","1417196","6372","null","null","1194366","7451","null","null","167963","null","2250","null","1181471","null","6040","null","105192","null","2589","null","848524","6519","null","null","11536","791","null","null","76388","null","1835","null","1588","269","null","null","320449","null","3437","null",
