"GEO_ID","NAME","B28001_001E","B28001_001EA","B28001_001M","B28001_001MA","B28001_002E","B28001_002M","B28001_002MA","B28001_002EA","B28001_003E","B28001_003EA","B28001_003M","B28001_003MA","B28001_004E","B28001_004EA","B28001_004M","B28001_004MA","B28001_005E","B28001_005EA","B28001_005M","B28001_005MA","B28001_006E","B28001_006EA","B28001_006M","B28001_006MA","B28001_007E","B28001_007EA","B28001_007M","B28001_007MA","B28001_008E","B28001_008EA","B28001_008M","B28001_008MA","B28001_009E","B28001_009EA","B28001_009M","B28001_009MA","B28001_010E","B28001_010EA","B28001_010M","B28001_010MA","B28001_011E","B28001_011EA","B28001_011M","B28001_011MA",
"0400000US27","Minnesota","2185603","null","5103","null","2001473","5537","null","null","1781344","null","7218","null","157843","null","2174","null","1753520","null","5098","null","112234","null","2512","null","1350676","null","7492","null","19991","null","935","null","63682","null","1624","null","1439","null","217","null","184130","null","2068","null",
"0400000US28","Mississippi","1104394","null","4685","null","925656","5545","null","null","697609","null","6282","null","59959","null","1847","null","832904","null","5249","null","142935","null","2946","null","547955","null","6218","null","10251","null","708","null","30380","null","1339","null","539","null","171","null","178738","null","3058","null",
"0400000US29","Missouri","2414521","null","5679","null","2150008","6469","null","null","1808532","null","8567","null","176685","null","2589","null","1880310","null","6460","null","192644","null","4006","null","1370926","null","7940","null","22380","null","830","null","69651","null","1619","null","1488","null","232","null","264513","null","3343","null",
"0400000US30","Montana","427871","null","1682","null","380587","2239","null","null","335060","null","2449","null","41326","null","980","null","317957","null","2327","null","22294","null","842","null","242879","null","2711","null","4947","null","436","null","9739","null","625","null","247","null","78","null","47284","null","1449","null",
"0400000US31","Nebraska","759176","null","2333","null","683587","2825","null","null","593159","null","3547","null","57745","null","1285","null","594141","null","2932","null","46747","null","1614","null","454069","null","3736","null","7366","null","445","null","22057","null","954","null","435","null","106","null","75589","null","1530","null",
"0400000US32","Nevada","1098602","null","3380","null","1015842","3789","null","null","872984","null","4798","null","67420","null","1471","null","909817","null","3661","null","81877","null","2260","null","659012","null","5392","null","7455","null","658","null","51348","null","1694","null","637","null","185","null","82760","null","1917","null",
"0400000US33","New Hampshire","532037","null","2311","null","494980","2408","null","null","451375","null","2538","null","51226","null","1326","null","417747","null","2889","null","20275","null","1196","null","333653","null","2671","null","4785","null","392","null","19571","null","1013","null","351","null","123","null","37057","null","1368","null",
"0400000US34","New Jersey","3231874","null","7167","null","2955487","8043","null","null","2638081","null","9839","null","208417","null","3197","null","2627392","null","7659","null","165855","null","3143","null","2022603","null","10826","null","26757","null","1264","null","108767","null","2401","null","2674","null","436","null","276387","null","3243","null",
"0400000US35","New Mexico","780249","null","3071","null","669996","3565","null","null","554690","null","3851","null","55240","null","1192","null","584263","null","3695","null","70841","null","1966","null","412228","null","4330","null","6871","null","576","null","29214","null","1291","null","510","null","127","null","110253","null","2000","null",
"0400000US36","New York","7343234","null","14943","null","6581493","17833","null","null","5762582","null","21741","null","525649","null","4736","null","5755220","null","15940","null","430965","null","5589","null","4346531","null","23339","null","71277","null","1795","null","313675","null","4788","null","5981","null","616","null","761741","null","5646","null",
"0400000US37","North Carolina","3965482","null","10327","null","3535121","12059","null","null","3008798","null","15601","null","260047","null","3847","null","3122647","null","9615","null","302637","null","5248","null","2295291","null","14459","null","36342","null","1146","null","129997","null","2448","null","2222","null","290","null","430361","null","4474","null",
"0400000US38","North Dakota","318322","null","1899","null","285796","2178","null","null","248563","null","2699","null","23000","null","881","null","249722","null","2198","null","19696","null","1012","null","190020","null","2356","null","3150","null","383","null","8429","null","513","null","171","null","84","null","32526","null","1068","null",
"0400000US39","Ohio","4676358","null","10659","null","4165608","11492","null","null","3529984","null","15610","null","353985","null","3499","null","3604668","null","9060","null","339443","null","5021","null","2723922","null","13620","null","50695","null","1286","null","131597","null","2584","null","3348","null","389","null","510750","null","4763","null",
"0400000US40","Oklahoma","1480061","null","2803","null","1311303","3674","null","null","1048401","null","4314","null","88778","null","1536","null","1175779","null","3541","null","159577","null","2411","null","811400","null","3935","null","12086","null","668","null","56956","null","1360","null","799","null","138","null","168758","null","2278","null",
"0400000US41","Oregon","1611982","null","3890","null","1499082","4176","null","null","1337457","null","5760","null","123515","null","2310","null","1312255","null","3909","null","84365","null","2315","null","990264","null","5427","null","11955","null","780","null","46379","null","1624","null","1062","null","213","null","112900","null","2308","null",
"0400000US42","Pennsylvania","5053106","null","9552","null","4445625","10539","null","null","3860351","null","14459","null","423128","null","4009","null","3787391","null","9073","null","306773","null","4962","null","2900091","null","13524","null","55937","null","1649","null","146814","null","3254","null","2735","null","327","null","607481","null","4185","null",
"0400000US44","Rhode Island","410489","null","1970","null","365930","2137","null","null","319069","null","2458","null","30740","null","1214","null","317206","null","2209","null","22951","null","1281","null","247379","null","2294","null","4603","null","464","null","12409","null","845","null","220","null","89","null","44559","null","1334","null",
"0400000US45","South Carolina","1921862","null","5983","null","1697422","6439","null","null","1401312","null","8282","null","117986","null","2517","null","1506606","null","5983","null","172822","null","3288","null","1085039","null","7816","null","18404","null","974","null","93800","null","2609","null","1206","null","256","null","224440","null","2903","null",
"0400000US46","South Dakota","344397","null","1938","null","304828","2196","null","null","264356","null","2343","null","29966","null","1032","null","258197","null","2272","null","20216","null","844","null","196448","null","2271","null","3528","null","348","null","9676","null","586","null","330","null","112","null","39569","null","1219","null",
"0400000US47","Tennessee","2597292","null","6331","null","2261717","7805","null","null","1865854","null","10784","null","165161","null","2814","null","2002056","null","6907","null","229656","null","4200","null","1457201","null","10427","null","23566","null","1042","null","97936","null","2404","null","1391","null","236","null","335575","null","3546","null",
"0400000US48","Texas","9691647","null","18858","null","8817279","21292","null","null","7307635","null","32079","null","462148","null","5765","null","8079130","null","18668","null","919641","null","11656","null","5752580","null","33745","null","62516","null","2024","null","377324","null","5441","null","4445","null","497","null","874368","null","6261","null",
"0400000US49","Utah","977313","null","2381","null","931382","2834","null","null","849665","null","3786","null","47977","null","1364","null","851403","null","2902","null","43125","null","1441","null","673735","null","4090","null","5190","null","450","null","29962","null","958","null","295","null","104","null","45931","null","1316","null",
"0400000US50","Vermont","260029","null","1329","null","233725","1527","null","null","211092","null","1570","null","30074","null","879","null","187024","null","1633","null","10262","null","684","null","148556","null","2059","null","3556","null","356","null","7328","null","502","null","186","null","80","null","26304","null","880","null",
"0400000US51","Virginia","3151045","null","7497","null","2871743","8758","null","null","2535580","null","11712","null","195500","null","2804","null","2561076","null","7019","null","190276","null","4279","null","1962519","null","11220","null","22449","null","926","null","117706","null","2311","null","1520","null","270","null","279302","null","3257","null",
"0400000US53","Washington","2848396","null","5857","null","2671876","6805","null","null","2412744","null","8202","null","189186","null","3022","null","2377911","null","6890","null","135183","null","3325","null","1835542","null","9194","null","19181","null","978","null","99676","null","2554","null","1473","null","280","null","176520","null","3021","null",
"0400000US54","West Virginia","732585","null","2601","null","616666","3178","null","null","502924","null","3761","null","68617","null","1498","null","504393","null","3275","null","58517","null","1700","null","380829","null","3720","null","12511","null","783","null","20263","null","1114","null","519","null","113","null","115919","null","1785","null",
"0400000US55","Wisconsin","2358156","null","7031","null","2107224","7140","null","null","1836583","null","8490","null","196955","null","2762","null","1799391","null","5889","null","142897","null","2867","null","1374232","null","8173","null","23988","null","895","null","63326","null","1575","null","1734","null","242","null","250932","null","2589","null",
"0400000US56","Wyoming","230101","null","1458","null","211299","1734","null","null","184849","null","2020","null","18128","null","887","null","183213","null","1878","null","13813","null","872","null","137965","null","1887","null","2135","null","325","null","6119","null","545","null","134","null","80","null","18802","null","908","null",
"0400000US72","Puerto Rico","1192654","null","3406","null","818583","4319","null","null","518066","null","3235","null","61146","null","1534","null","722419","null","4494","null","207930","null","3064","null","376179","null","3998","null","13992","null","742","null","33708","null","1292","null","1366","null","224","null","374071","null","3333","null",
