"GEO_ID","NAME","B28001_001E","B28001_001EA","B28001_001M","B28001_001MA","B28001_002E","B28001_002EA","B28001_002M","B28001_002MA","B28001_003E","B28001_003M","B28001_003MA","B28001_003EA","B28001_004E","B28001_004M","B28001_004MA","B28001_004EA","B28001_005E","B28001_005EA","B28001_005M","B28001_005MA","B28001_006E","B28001_006EA","B28001_006M","B28001_006MA","B28001_007E","B28001_007M","B28001_007MA","B28001_007EA","B28001_008E","B28001_008M","B28001_008MA","B28001_008EA","B28001_009E","B28001_009M","B28001_009MA","B28001_009EA","B28001_010E","B28001_010EA","B28001_010M","B28001_010MA","B28001_011E","B28001_011EA","B28001_011M","B28001_011MA",
"0400000US40","Oklahoma","1493569","null","3009","null","1352894","null","3186","null","1064801","4462","null","null","66834","1818","null","null","1246160","null","3782","null","193475","null","3244","null","836964","4421","null","null","12678","806","null","null","39898","1601","null","null","261","null","69","null","140675","null","2799","null",
"0400000US41","Oregon","1642579","null","3451","null","1545561","null","4108","null","1366123","6175","null","null","93083","2258","null","null","1395658","null","4198","null","102593","null","3431","null","1048239","6334","null","null","13116","751","null","null","38253","1439","null","null","454","null","151","null","97018","null","2241","null",
"0400000US42","Pennsylvania","5106601","null","8064","null","4573026","null","8827","null","3916591","12680","null","null","324105","3790","null","null","4022251","null","7365","null","370650","null","5616","null","3072187","13864","null","null","63934","1748","null","null","114809","2600","null","null","1235","null","242","null","533575","null","4616","null",
"0400000US44","Rhode Island","414730","null","1881","null","375980","null","2091","null","323796","2513","null","null","23794","1098","null","null","335060","null","2254","null","27228","null","1377","null","260463","2445","null","null","5186","489","null","null","9321","840","null","null","93","null","53","null","38750","null","1570","null",
"0400000US45","South Carolina","1961481","null","5748","null","1769828","null","6481","null","1442444","8327","null","null","91822","2534","null","null","1612657","null","6509","null","206924","null","4359","null","1153451","8880","null","null","19794","1123","null","null","75686","2795","null","null","441","null","114","null","191653","null","3436","null",
"0400000US46","South Dakota","347878","null","1737","null","313834","null","2066","null","267539","2557","null","null","22379","982","null","null","276151","null","1987","null","25788","null","1229","null","206564","2765","null","null","4118","394","null","null","7740","616","null","null","73","null","38","null","34044","null","1010","null",
"0400000US47","Tennessee","2639455","null","6788","null","2352354","null","8667","null","1912380","11218","null","null","124176","2764","null","null","2142263","null","7658","null","277404","null","5530","null","1542439","11487","null","null","25890","1253","null","null","78725","2317","null","null","975","null","302","null","287101","null","4004","null",
"0400000US48","Texas","9906070","null","18881","null","9187393","null","21458","null","7559242","30151","null","null","337409","5434","null","null","8637101","null","18298","null","1084179","null","11990","null","6092114","33742","null","null","62881","2122","null","null","286765","4344","null","null","1837","null","307","null","718677","null","7881","null",
"0400000US49","Utah","1003345","null","2384","null","964342","null","2798","null","878242","3341","null","null","36140","1524","null","null","901830","null","2836","null","49408","null","1836","null","717240","4591","null","null","5597","514","null","null","26888","1117","null","null","187","null","106","null","39003","null","1464","null",
"0400000US50","Vermont","262852","null","1220","null","239892","null","1452","null","214449","1720","null","null","24052","933","null","null","199062","null","1759","null","12577","null","842","null","157532","1850","null","null","4007","392","null","null","4613","419","null","null","22","null","14","null","22960","null","1042","null",
"0400000US51","Virginia","3184121","null","7450","null","2939714","null","8599","null","2567878","11879","null","null","150036","3054","null","null","2686158","null","7600","null","226313","null","4718","null","2059647","11860","null","null","27200","1169","null","null","95194","2570","null","null","547","null","120","null","244407","null","4066","null",
"0400000US53","Washington","2905822","null","5585","null","2755772","null","6534","null","2466718","8819","null","null","143443","2784","null","null","2522608","null","6243","null","162899","null","3751","null","1946166","9137","null","null","20881","1033","null","null","75492","2483","null","null","681","null","167","null","150050","null","2675","null",
"0400000US54","West Virginia","734235","null","2810","null","632566","null","3326","null","503546","3679","null","null","52901","1600","null","null","536203","null","3775","null","71526","null","2298","null","400508","3908","null","null","14592","772","null","null","12975","1016","null","null","252","null","134","null","101669","null","2238","null",
"0400000US55","Wisconsin","2377935","null","5709","null","2157295","null","6492","null","1855093","8523","null","null","149037","2624","null","null","1902247","null","5366","null","170959","null","3515","null","1440621","7971","null","null","27730","1225","null","null","55348","1432","null","null","894","null","176","null","220640","null","3163","null",
"0400000US56","Wyoming","233231","null","1535","null","217146","null","1713","null","187778","1806","null","null","14066","813","null","null","193692","null","1962","null","16873","null","976","null","144370","2088","null","null","2423","382","null","null","4482","525","null","null","100","null","94","null","16085","null","999","null",
"0400000US72","Puerto Rico","1205749","null","3649","null","875327","null","4355","null","531364","4178","null","null","45368","1720","null","null","799344","null","3874","null","262925","null","2833","null","372544","3269","null","null","14670","747","null","null","22849","1171","null","null","123","null","57","null","330422","null","3102","null",
