"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_001MA","B28001_001EA","B28001_002E","B28001_002M","B28001_002MA","B28001_002EA","B28001_003E","B28001_003M","B28001_003MA","B28001_003EA","B28001_004E","B28001_004M","B28001_004MA","B28001_004EA","B28001_005E","B28001_005M","B28001_005MA","B28001_005EA","B28001_006E","B28001_006M","B28001_006MA","B28001_006EA","B28001_007E","B28001_007M","B28001_007MA","B28001_007EA","B28001_008E","B28001_008EA","B28001_008M","B28001_008MA","B28001_009E","B28001_009EA","B28001_009M","B28001_009MA","B28001_010E","B28001_010M","B28001_010MA","B28001_010EA","B28001_011E","B28001_011M","B28001_011MA","B28001_011EA",
"0400000US12","Florida","7621760","23468","null","null","6844107","26765","null","null","6074481","31200","null","null","719259","5578","null","null","5803630","22930","null","null","396202","6247","null","null","4339197","28430","null","null","55747","null","1736","null","357137","null","4603","null","7446","663","null","null","777653","6428","null","null",
"0400000US13","Georgia","3709488","9402","null","null","3287853","11380","null","null","2849294","13932","null","null","275472","3214","null","null","2874534","9990","null","null","223180","4323","null","null","2145312","13213","null","null","25901","null","1159","null","160604","null","3302","null","3042","357","null","null","421635","4655","null","null",
"0400000US15","Hawaii","456782","2081","null","null","411022","2152","null","null","370121","2321","null","null","36902","1184","null","null","355441","2255","null","null","19201","790","null","null","276392","2173","null","null","3589","null","356","null","17113","null","876","null","365","121","null","null","45760","1372","null","null",
"0400000US16","Idaho","618331","2254","null","null","557848","2898","null","null","501300","3210","null","null","68200","2126","null","null","461649","3378","null","null","26548","1206","null","null","356763","3920","null","null","4431","null","417","null","20116","null","997","null","368","118","null","null","60483","1919","null","null",
"0400000US17","Illinois","4830038","9750","null","null","4264785","11482","null","null","3757925","15261","null","null","404624","3546","null","null","3666958","10841","null","null","255313","4013","null","null","2761257","13080","null","null","34382","null","1205","null","215456","null","3744","null","4856","409","null","null","565253","4625","null","null",
"0400000US18","Indiana","2553818","7375","null","null","2226068","8071","null","null","1915891","10266","null","null","248751","2521","null","null","1864900","7825","null","null","154014","3025","null","null","1396278","9238","null","null","22227","null","1088","null","87657","null","2172","null","2327","278","null","null","327750","3645","null","null",
"0400000US19","Iowa","1256855","4146","null","null","1101435","4432","null","null","969050","5363","null","null","131610","1791","null","null","912757","4283","null","null","65193","2100","null","null","694465","4741","null","null","10715","null","583","null","37952","null","1206","null","1441","226","null","null","155420","2093","null","null",
"0400000US20","Kansas","1124549","4096","null","null","994601","4606","null","null","870880","5228","null","null","109167","1966","null","null","839629","4613","null","null","61433","1924","null","null","630472","4872","null","null","8652","null","565","null","36022","null","1141","null","873","180","null","null","129948","1860","null","null",
"0400000US21","Kentucky","1728681","5065","null","null","1458107","6311","null","null","1226898","7529","null","null","157172","2183","null","null","1223092","5797","null","null","112569","2462","null","null","920717","6316","null","null","18263","null","937","null","63525","null","1759","null","1629","227","null","null","270574","3203","null","null",
"0400000US22","Louisiana","1736021","5617","null","null","1449635","6657","null","null","1183086","7510","null","null","126885","2450","null","null","1259374","6434","null","null","144656","3093","null","null","883343","7588","null","null","13568","null","807","null","68548","null","1885","null","1174","232","null","null","286386","3012","null","null",
"0400000US23","Maine","556955","2215","null","null","492145","2235","null","null","446310","2560","null","null","79180","1553","null","null","379742","2495","null","null","18885","931","null","null","303295","2681","null","null","5552","null","435","null","18947","null","920","null","733","176","null","null","64810","1233","null","null",
"0400000US24","Maryland","2192518","5412","null","null","2001671","6501","null","null","1817401","7706","null","null","173632","2312","null","null","1736801","6850","null","null","87532","2318","null","null","1352468","7395","null","null","14097","null","753","null","120139","null","2884","null","1622","252","null","null","190847","2873","null","null",
"0400000US25","Massachusetts","2601914","4637","null","null","2345531","6079","null","null","2138862","7317","null","null","240349","2789","null","null","1988777","6041","null","null","92609","2503","null","null","1549500","7776","null","null","21507","null","1053","null","106266","null","2405","null","2447","299","null","null","256383","3385","null","null",
"0400000US26","Michigan","3909509","9207","null","null","3442305","9862","null","null","2993928","12759","null","null","379837","3196","null","null","2884298","8507","null","null","223744","3440","null","null","2180610","10292","null","null","35683","null","924","null","124446","null","2238","null","4096","420","null","null","467204","3368","null","null",
"0400000US27","Minnesota","2167801","5845","null","null","1958599","6011","null","null","1773623","7322","null","null","204715","2178","null","null","1658149","5873","null","null","84083","1921","null","null","1284907","6999","null","null","16887","null","753","null","76653","null","1549","null","1986","239","null","null","209202","1998","null","null",
"0400000US28","Mississippi","1105576","4591","null","null","901172","4832","null","null","702774","5601","null","null","80947","1945","null","null","783209","4700","null","null","110706","2510","null","null","536769","5292","null","null","9624","null","731","null","37849","null","1646","null","730","192","null","null","204404","2954","null","null",
"0400000US29","Missouri","2396271","6753","null","null","2091864","7960","null","null","1800534","9436","null","null","232777","2646","null","null","1760343","7816","null","null","147141","2755","null","null","1306965","8966","null","null","19899","null","932","null","79366","null","1804","null","2474","336","null","null","304407","3467","null","null",
"0400000US30","Montana","423240","2033","null","null","369326","2542","null","null","331972","2989","null","null","55280","1426","null","null","293277","2565","null","null","16834","973","null","null","226113","2479","null","null","3941","null","415","null","10824","null","661","null","337","99","null","null","53914","1351","null","null",
"0400000US31","Nebraska","754063","2749","null","null","667596","3244","null","null","590756","3351","null","null","75685","1279","null","null","558866","3018","null","null","36762","1186","null","null","427921","3276","null","null","6003","null","470","null","26915","null","1061","null","660","134","null","null","86467","1569","null","null",
"0400000US32","Nevada","1075930","3357","null","null","980878","4101","null","null","856822","4852","null","null","88778","1971","null","null","848432","4138","null","null","62434","1772","null","null","626460","4838","null","null","6632","null","620","null","57050","null","1860","null","940","225","null","null","95052","2238","null","null",
"0400000US33","New Hampshire","528078","2194","null","null","486930","2653","null","null","451013","2864","null","null","68249","1596","null","null","391179","2803","null","null","14961","959","null","null","313189","2830","null","null","3943","null","394","null","23727","null","1122","null","531","186","null","null","41148","1342","null","null",
"0400000US34","New Jersey","3213362","6651","null","null","2896471","7894","null","null","2624125","9453","null","null","266324","3182","null","null","2498266","7117","null","null","126824","3010","null","null","1933834","9878","null","null","22580","null","909","null","139209","null","2567","null","3923","443","null","null","316891","3413","null","null",
"0400000US35","New Mexico","775651","3254","null","null","649937","3675","null","null","551675","4203","null","null","74871","1809","null","null","542865","3845","null","null","53972","1850","null","null","391848","3892","null","null","6033","null","574","null","30802","null","1301","null","843","158","null","null","125714","2362","null","null",
"0400000US36","New York","7316537","13711","null","null","6456229","16791","null","null","5762918","20244","null","null","687662","5070","null","null","5448924","15090","null","null","331811","5269","null","null","4137617","19435","null","null","59671","null","1865","null","386747","null","5636","null","8712","613","null","null","860308","6284","null","null",
"0400000US37","North Carolina","3918597","8585","null","null","3424443","10215","null","null","2974311","13002","null","null","340826","3542","null","null","2921871","9123","null","null","231968","4522","null","null","2180577","12350","null","null","31907","null","1223","null","157465","null","3166","null","3015","326","null","null","494154","4572","null","null",
"0400000US38","North Dakota","314903","1937","null","null","278839","2119","null","null","248300","2477","null","null","30416","1047","null","null","234906","2002","null","null","14740","835","null","null","179868","2039","null","null","2593","null","317","null","9757","null","646","null","233","75","null","null","36064","887","null","null",
"0400000US39","Ohio","4654075","10201","null","null","4068830","10601","null","null","3523158","14461","null","null","459817","3940","null","null","3396596","9596","null","null","262698","4596","null","null","2592820","12517","null","null","43304","null","1021","null","155504","null","3381","null","4483","377","null","null","585245","4320","null","null",
"0400000US40","Oklahoma","1474620","3107","null","null","1278772","3513","null","null","1050681","4318","null","null","117697","1662","null","null","1107308","3594","null","null","120970","2298","null","null","791309","4026","null","null","11151","null","572","null","71247","null","1562","null","1396","199","null","null","195848","2037","null","null",
"0400000US41","Oregon","1591835","4000","null","null","1461755","4769","null","null","1321567","6109","null","null","162082","2523","null","null","1231782","4708","null","null","66281","2167","null","null","937382","5055","null","null","10534","null","625","null","51191","null","1465","null","1363","212","null","null","130080","2393","null","null",
"0400000US42","Pennsylvania","5025132","9263","null","null","4344824","10428","null","null","3848191","13358","null","null","546701","4240","null","null","3560337","9896","null","null","235564","4349","null","null","2741108","13151","null","null","46475","null","1188","null","173111","null","2738","null","4381","412","null","null","680308","4551","null","null",
"0400000US44","Rhode Island","410885","1911","null","null","360113","2249","null","null","319959","2446","null","null","39527","1143","null","null","302061","2369","null","null","17359","1161","null","null","236514","2340","null","null","3777","null","418","null","14661","null","850","null","411","146","null","null","50772","1636","null","null",
"0400000US45","South Carolina","1894711","6012","null","null","1633709","6569","null","null","1380649","8931","null","null","156005","2883","null","null","1400019","6442","null","null","133309","3562","null","null","1025423","7840","null","null","15997","null","887","null","106632","null","2863","null","1971","337","null","null","261002","3102","null","null",
